Timestamp: 987.57, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.58, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.59, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.60, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.61, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.62, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.63, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.64, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.65, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.66, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.67, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.68, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 987.69, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.70, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.71, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.72, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.73, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.99, -16.64)
Timestamp: 987.74, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.75, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.76, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.77, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.78, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.79, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.80, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.81, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.82, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.83, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.84, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.85, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.86, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.87, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.88, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.89, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.90, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.91, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.92, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.93, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
Timestamp: 987.94, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -48.98, -16.64)
Timestamp: 987.95, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.64)
Timestamp: 987.96, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.98, -49.00, -16.65)
Timestamp: 987.97, Position: (923.83, 8.97, 936.21), Euler Angles: (-1.99, -48.99, -16.65)
